31,11458980068,2798274299,80478640483,23871888749
30,11633979289,2798322991,81178639407,23872083517
29,12883458287,2798322978,86176555455,23872083481
28,11525107993,2798322991,80743154195,23872083521
27,8464711629,2798323042,68501568763,23872083737
26,8480411698,2798323062,68564368999,23872083801
25,8354012876,2798323052,68058773719,23872083761
24,8511183385,2798323132,68687455639,23872084097
23,8393373989,2798323334,68216217659,23872084881
22,8365537915,2798323381,68104873363,23872085077
21,8376418996,2798323349,68148397767,23872084965
20,8154355648,2798323182,67260144627,23872084281
19,7956424542,2798323319,66468420079,23872084829
18,7781826930,2798323502,65770029403,23872085561
17,8701027285,2798323241,69446830787,23872084517
16,7631327297,2798323577,65168030779,23872085869
15,7671264575,2798323139,65327780403,23872084117
14,7619189273,2798323164,65119479175,23872084209
13,8555798611,2798323143,68865916331,23872084133
12,8450816203,2798323116,68445986727,23872084033
11,9014424982,2798322985,70700422223,23872083493
10,8640387949,2798322986,69204274091,23872083497
9,8380526545,2798322990,68164828471,23872083513
8,8865909417,2798323031,70106359871,23872083693
7,8506453969,2798323024,68668538099,23872083649
6,8566507184,2798323012,68908750963,23872083593
5,8020111026,2811602178,66840266959,24020431961
4,7932844431,2811602140,66491200679,24020431825
3,13741863096,3728035691,101147950735,31802391777
2,13345631355,3728036524,99563039814,31802399933
1,13013665563,3728036490,98235181578,31802399801
0,12682234538,3728604930,96911094224,31806898405
